Title,Published_date,Views,Likes,Comments,Month
Reality of Pahalgam Attack | Who is Failing India? | Dhruv Rathee,2025-04-26,22554307,1693212,321096,Apr
"This ANIMAL is back after 13,000 Years | The De-Extinction of Dire Wolf | Dhruv Rathee",2025-04-23,9461606,318037,14514,Apr
Can Humans Ever Leave the Milky Way Galaxy? | The Wormholes Explained | Dhruv Rathee,2025-04-18,7972503,315015,17770,Apr
Reality of Indian Beggars | India’s Darkest Secret | Dhruv Rathee,2025-04-16,11587483,465031,26334,Apr
Trump's Tariff War EXPLAINED | Global Recession Coming Soon? | Dhruv Rathee,2025-04-12,11872637,436851,21891,Apr
Why India's Air is So Deadly (And Getting Worse!) | Dhruv Rathee,2025-04-05,8342184,338856,39515,Apr
Kunal Kamra Controversy | Gunda Raj in Naya Bharat | Dhruv Rathee,2025-03-28,10672201,802301,47512,Mar
Grok AI is Exposing Everyone! | Is it Biased? | Elon Musk | Dhruv Rathee,2025-03-20,12071633,648629,40828,Mar
The Crazy Life of Somali Pirates | Are They Heros or Villains? | Dhruv Rathee,2025-03-18,13897466,411717,14197,Mar
Why are DEEP SEA Creatures Coming to Surface? | Leviathan Mystery | Dhruv Rathee,2025-03-14,19922233,814872,34093,Mar
The Dark Reality of Diamonds | Jaago Grahak Jaago | Dhruv Rathee,2025-03-10,8283389,267665,12925,Mar
Trump vs Zelensky Fight | The End of Ukraine? | Dhruv Rathee,2025-03-06,11610052,439923,25630,Mar
How Dirty was Ganga River during Mahakumbh? | Dhruv Rathee,2025-02-26,14707688,737213,57873,Feb
How Companies FOOL You! | Jaago Grahak Jaago | Dhruv Rathee,2025-02-22,13738160,594802,30157,Feb
The Ranveer Allahbadia Controversy | Samay Raina | India's Got Latent | Dhruv Rathee,2025-02-19,21751490,1311957,81975,Feb
Nathuram Godse | What They Never Told You!  | Dhruv Rathee,2025-02-13,9761110,443748,42833,Feb
Deepseek | China's New AI Model Destroys American ChatGPT | Dhruv Rathee,2025-02-04,9954459,355390,19328,Feb
How did Life begin on Earth? | Mystery of our Origin | Dhruv Rathee,2025-02-01,7699335,303072,22453,Feb
Why Middle Class in India is DYING? | Tax Burden | Dhruv Rathee,2025-01-25,12346347,704243,51758,Jan
Los Angeles Wildfire | These People are Burning America! | Dhruv Rathee,2025-01-21,11590764,482027,21000,Jan
Watch this before it gets Banned! | UNBREAKABLE Documentary,2025-01-19,13084244,958673,62170,Jan
Reality of HMPV Virus in China | Will there be Lockdown Again? | Dhruv Rathee,2025-01-15,7768971,404146,16017,Jan
One Mistake That Will Destroy Your Family's Future | Dhruv Rathee,2025-01-13,8001283,352589,16937,Jan
How ELECTIONS are being Manipulated in India? | Dhruv Rathee,2025-01-08,8186365,477956,33850,Jan
Reality of Men's Issues | Atul Subhash Case | Dhruv Rathee,2025-01-03,9415364,503131,28422,Jan
How USA and Russia Fought the Biggest Proxy War in Syria? | Fall of Dictator Assad | Dhruv Rathee,2024-12-25,8214335,276725,16857,Dec
Mystery of Yeti SOLVED! | Were they Real Animals? | Dhruv Rathee,2024-12-18,15794406,508690,24408,Dec
Adani | ₹2000 Crore Bribery Case EXPOSED | Dhruv Rathee,2024-12-10,11858454,459517,37754,Dec
How was Planet Earth Born? | The 4.6 Billion Year History of our Solar System | Dhruv Rathee,2024-12-05,10919414,400203,34108,Dec
How British Left India? | The History You Wouldn’t Know! | Dhruv Rathee,2024-11-30,12821782,421177,37602,Nov
Daily Life in North Korea | How People live under Dictatorship? | Dhruv Rathee,2024-11-25,22846829,703416,36014,Nov
Jhansi Fire Tragedy | Mission Swaraj Accepted! | What’s Next? | Dhruv Rathee,2024-11-18,9411527,740802,50823,Nov
My Open Challenge to Politicians! | Mission Swaraj | Maharashtra Elections | Dhruv Rathee,2024-11-14,13397199,1004513,70457,Nov
Donald Trump is Back | Good News or Bad News for India? | Dhruv Rathee,2024-11-09,11639510,411946,19376,Nov
The Lawrence Bishnoi Case | Gangs of North India | Dhruv Rathee,2024-11-06,23869020,1292434,99516,Nov
25 Million Special Q&A with Dhruv Rathee,2024-10-31,9492528,538956,45627,Oct
Bollywood is in a BIG CRISIS! | Downfall of Bollywood | Dhruv Rathee,2024-10-26,14754160,563640,38372,Oct
India's Toxic Work Culture! | What to do? | Dhruv Rathee,2024-10-23,8959667,480702,46125,Oct
NASA’s Search for Aliens | The Voyager Missions | Dhruv Rathee,2024-10-15,19084840,651807,27078,Oct
"This Airplane Lost its Roof at 24,000 ft | What Happened Next? | Dhruv Rathee",2024-10-09,14864239,440934,13981,Oct
Iran vs Israel | What is happening? | Explained by Dhruv Rathee,2024-10-06,19094430,791161,42116,Oct
The Full Story of Ambani Brothers | From $45 Billion to $0 Net Worth | Dhruv Rathee,2024-10-02,16409309,505412,22775,Oct
Cancer: The Scariest Disease in Humans | How to be Safe? | Dhruv Rathee,2024-09-25,10886785,508723,24896,Sep
The Sad Life of RICH People | Trapped in Rat Race | Dhruv Rathee,2024-09-18,14086521,674840,54266,Sep
Why was Astronaut Sunita Williams TRAPPED in Space? | Boeing Starliner Disaster | Dhruv Rathee,2024-09-13,15459314,476048,15296,Sep
Why 10% Americans Think Earth is FLAT? | Dhruv Rathee,2024-09-08,9472279,377715,29646,Sep
The DARK Truth about Fruit Juices | Court Case Against Me | Dhruv Rathee,2024-08-31,10643637,616230,27440,Aug
Reality of India's Workers! | Dhruv Rathee,2024-08-27,8676951,491383,26790,Aug
Kolkata Case | Why is India so UNSAFE For Women? | Dhruv Rathee,2024-08-24,19919884,1330303,64605,Aug
The Conspiracy Against Vinesh Phogat | Why She Lost? | Dhruv Rathee,2024-08-15,14095661,921153,55041,Aug
Will this Asteroid DESTROY Earth in 2038? | Dhruv Rathee,2024-08-06,15043332,741395,52536,Aug
Middle Class FOOLED Once Again? | Budget 2024 | Dhruv Rathee,2024-07-28,16078883,909132,52655,Jul
Bangladesh is Burning! | Sheikh Hasina called a Dictator  | What's Happening? | Dhruv Rathee,2024-07-25,26237799,1286641,163919,Jul
My Final Reply to Godi Youtubers | Elvish Yadav | Dhruv Rathee,2024-07-21,26418953,2068605,205365,Jul
The Dark Truth about Weight Loss Supplements | Dhruv Rathee,2024-07-16,8524301,418958,52628,Jul
