Title,Published_date,Views,Likes,Comments,Year,Like_Rate,Comment_Rate,Engagement_Rate,Rolling_Like_Rate,Rolling_Comment_Rate,Rolling_Engagement_Rate,Month
Multiplication 7: Old video giving more examples | Arithmetic | Khan Academy,2006-11-18,351746,2178,596,2006,0.0061919680678671546,0.0016944044850545565,0.007886372552921711,,,,Nov
Greatest common factor explained | Factors and multiples | Pre-Algebra | Khan Academy,2006-11-18,1673003,3618,552,2006,0.0021625783097818712,0.0003299456127693734,0.0024925239225512446,,,,Nov
Equivalent fractions | Fractions | Pre-Algebra | Khan Academy,2006-11-18,1334391,1705,297,2006,0.0012777364355724822,0.00022257344361585173,0.001500309879188334,,,,Nov
Level 3 exponents,2006-11-19,552409,1802,210,2006,0.0032620757446022784,0.0003801531111911645,0.003642228855793443,,,,Nov
Level 1 multiplying expressions,2006-11-19,187346,406,37,2006,0.002167113255687338,0.00019749554300598892,0.002364608798693327,,,,Nov
Level 2 Exponents,2006-11-19,463463,1172,97,2006,0.0025287887058945374,0.0002092939457950257,0.002738082651689563,,,,Nov
Level 1 Exponents,2006-11-19,5735,65,22,2006,0.011333914559721011,0.0038360941586748037,0.015170008718395816,,,,Nov
Algebra: Linear equations 4 | Linear equations | Algebra I | Khan Academy,2006-11-19,1343974,2782,369,2006,0.002069980520456497,0.000274558882835531,0.002344539403292028,,,,Nov
Algebra: Linear equations 1 | Linear equations | Algebra I | Khan Academy,2006-11-19,2840967,13842,1382,2006,0.004872284683349015,0.0004864540841199493,0.005358738767468964,,,,Nov
Algebra: Linear equations 3 | Linear equations | Algebra I | Khan Academy,2006-11-19,632661,1484,159,2006,0.002345647985255927,0.00025131942699170643,0.0025969674122476335,,,,Nov
Solving a quadratic by factoring | Quadratic equations | Algebra I | Khan Academy,2006-11-19,539765,1409,174,2006,0.0026103952646058933,0.0003223625096106639,0.002932757774216557,,,,Nov
Algebra: Linear equations 2 | Linear equations | Algebra I | Khan Academy,2006-11-19,919278,2519,308,2006,0.0027401939348053583,0.0003350455466137556,0.003075239481419114,,,,Nov
Algebra: Equation of a line,2006-11-22,593386,2893,298,2006,0.004875409935522578,0.0005022026134758825,0.00537761254899846,,,,Nov
