Title,Published_date,Views,Likes,Comments,Year,Like_Rate,Comment_Rate,Engagement_Rate,Rolling_Like_Rate,Rolling_Comment_Rate,Rolling_Engagement_Rate,Month
Umbanda Religion | National Geographic,2007-05-18,300747,1231,468,2007,0.004093141411219397,0.001556125248132151,0.005649266659351548,,,,May
Shark vs Octopus | National Geographic,2007-05-18,7782098,11068,3521,2007,0.0014222385788511015,0.00045244868414661446,0.001874687262997716,,,,May
Speed Boat Racers | National Geographic,2007-05-18,15066,37,9,2007,0.0024558608787999467,0.0005973715651135006,0.0030532324439134476,,,,May
Inside the Green Berets: Ambush | National Geographic,2007-05-18,264088,406,261,2007,0.001537366332434643,0.000988306927993699,0.002525673260428342,,,,May
Bull Parts | Rare Foods,2007-05-18,72703,222,74,2007,0.0030535191120036314,0.0010178397040012104,0.004071358816004842,,,,May
Vegas Mafia | National Geographic,2007-05-18,177612,487,65,2007,0.0027419318514514783,0.00036596626354075173,0.00310789811499223,,,,May
Multiple Husbands | National Geographic,2007-05-18,4482182,20033,4380,2007,0.004469474911995988,0.0009772026214018084,0.005446677533397796,,,,May
Lost Kings of the Bible | National Geographic,2007-05-18,109944,329,131,2007,0.002992432511096558,0.0011915156807101798,0.004183948191806738,,,,May
Octopus Escape | National Geographic,2007-05-18,384252,720,110,2007,0.0018737703382155461,0.0002862704683384862,0.002160040806554032,,,,May
Global Warming 101 | National Geographic,2007-05-18,5653112,28474,18475,2007,0.005036871726581748,0.003268111440212046,0.008304983166793794,,,,May
Mystery of the Romanovs | National Geographic,2007-05-18,935652,5530,653,2007,0.00591031708370206,0.0006979090516559575,0.006608226135358017,,,,May
Gabon: The Last Eden | National Geographic,2007-05-18,114415,357,49,2007,0.0031202202508412357,0.00042826552462526765,0.0035484857754665036,,,,May
Monster Crocs | National Geographic,2007-05-18,547833,1372,162,2007,0.0025044128411395444,0.0002957105541287217,0.002800123395268266,,,,May
Bear Attack | National Geographic,2007-05-18,1167466,1202,459,2007,0.001029580304694098,0.0003931592012101423,0.0014227395059042405,,,,May
Killer Lakes | National Geographic,2007-05-18,446018,718,71,2007,0.0016098005013250587,0.00015918640054885677,0.0017689869018739153,,,,May
Atmosphere: Arctic Abyss | National Geographic,2007-05-18,195736,476,159,2007,0.002431846977561614,0.0008123186332611273,0.0032441656108227407,,,,May
Green Bathroom Makeover | National Geographic,2007-05-18,18177,114,20,2007,0.0062716619904274636,0.001100291577267976,0.007371953567695439,,,,May
Prison Predators | National Geographic,2007-05-18,4478398,18079,2920,2007,0.004036934636001534,0.0006520188692474407,0.0046889535052489755,,,,May
Bull Sharks Upriver | National Geographic,2007-05-18,410479,2167,198,2007,0.0052791982050238865,0.00048236328776868,0.005761561492792566,,,,May
NG Logo | National Geographic,2007-05-21,46841,234,56,2007,0.004995623492239704,0.0011955338272026644,0.0061911573194423685,,,,May
Most Dangerous Roads | National Geographic,2007-05-21,766826,1011,221,2007,0.0013184216497614844,0.0002882009738845579,0.0016066226236460422,,,,May
Eating Dog | National Geographic,2007-05-21,116979,442,633,2007,0.003778455962181246,0.005411227656245993,0.009189683618427239,,,,May
Polar Bear Attacks Seal | National Geographic,2007-05-22,840245,788,322,2007,0.0009378217067640986,0.00038322156037822304,0.0013210432671423215,,,,May
Giant Tarantula | National Geographic,2007-05-22,3922211,4516,1906,2007,0.0011513913963323238,0.00048595039889490904,0.0016373417952272329,,,,May
The Search for King Arthur | National Geographic,2007-05-22,305219,772,196,2007,0.0025293313981108647,0.000642161857551463,0.0031714932556623277,,,,May
Mouse vs Boa | National Geographic,2007-05-22,391356,560,214,2007,0.0014309222293768333,0.0005468167090832899,0.001977738938460123,,,,May
Final Question | National Geographic Bee 2007,2007-05-23,182151,829,169,2007,0.0045511690849899256,0.000927801659063085,0.005478970744053011,,,,May
Man Fights Bear | National Geographic,2007-05-24,3087517,2492,1861,2007,0.0008071210620054886,0.0006027497176533765,0.001409870779658865,,,,May
Island Volcano Menace | National Geographic,2007-05-24,95181,354,48,2007,0.003719229678192076,0.0005043023292463832,0.004223532007438459,,,,May
Sworn Virgins | National Geographic,2007-05-24,245257,617,90,2007,0.0025157283991894216,0.0003669620031232544,0.002882690402312676,0.002986859883417,0.0009025770131877272,0.003889436896604727,May
Komodo Dragons | National Geographic,2007-05-24,890806,1390,381,2007,0.0015603846404267595,0.0004277025525198528,0.0019880871929466126,0.002902434657723912,0.000864962923333984,0.003767397581057896,May
Rabid Vampires | National Geographic,2007-05-24,160509,514,105,2007,0.003202312642904759,0.0006541689251070034,0.0038564815680117628,0.002961770459859034,0.0008716869313659969,0.003833457391225031,May
Tornado Destruction | National Geographic,2007-05-29,8774494,8599,2495,2007,0.0009799995304572548,0.00028434688085717533,0.0012643464113144302,0.002912575081580944,0.0008612527752241194,0.0037738278568050635,May
Let There Be Light | National Geographic,2007-05-29,65944,113,28,2007,0.0017135751546766954,0.0004246026931942254,0.002138177847870921,0.0029184487089890126,0.0008424626340641369,0.0037609113430531493,May
Inside the Green Berets: Under Attack | National Geographic,2007-05-29,910522,2089,560,2007,0.0022942883313088534,0.0006150318169138143,0.002909320148222668,0.002893141016299187,0.0008290357044945571,0.003722176720793744,May
Boomslang vs. Chameleon | National Geographic,2007-05-29,510764,578,236,2007,0.0011316380950889256,0.00046205292463838486,0.0015936910197273104,0.002839464557753768,0.0008322385931978115,0.0036717031509515803,May
Man-Eating Croc | National Geographic,2007-05-29,719355,556,154,2007,0.0007729146249070347,0.00021408066948863912,0.000986995294395674,0.00271624588151747,0.0008068011948007058,0.003523047076318176,May
Anaconda vs. Mammal | National Geographic,2007-05-29,13506102,13016,1868,2007,0.000963712550075514,0.00013830785521981101,0.001102020405295325,0.0026486218828167688,0.0007716942672843602,0.0034203161501011286,May
Mob Boss Rivalry | National Geographic,2007-05-29,218933,334,94,2007,0.0015255808854763785,0.0004293550995053281,0.0019549359849817065,0.002637015567725463,0.0007764637549899215,0.0034134793227153844,May
Blood Squirting Lizard | National Geographic,2007-05-31,1325169,2634,625,2007,0.001987671006490493,0.0004716379571209408,0.0024593089636114336,0.002535375543722421,0.0006832479722202182,0.003218623515942639,May
Corpse Family | National Geographic,2007-05-31,125973,231,99,2007,0.001833726274677907,0.0007858826891476745,0.0026196089638255817,0.002399489183421616,0.0006861804268032753,0.003085669610224891,May
Clinton Impeachment | National Geographic,2007-05-31,176607,458,120,2007,0.0025933286902557655,0.0006794747660058774,0.003272803456261643,0.0023819261314021,0.000694554068182629,0.0030764801995847293,May
Whale Attack | National Geographic,2007-05-31,3212105,2787,1843,2007,0.0008676553225999773,0.0005737670468431138,0.001441422369443091,0.002327367547450781,0.0007038226179397754,0.0030311901653905567,May
Maggot Medicine | National Geographic,2007-05-31,3980515,19622,2708,2007,0.0049295128896637746,0.0006803139794725055,0.00560982686913628,0.002457365300283104,0.0007133944438818541,0.0031707597441649584,May
Girl's Rite of Passage | National Geographic,2007-05-31,1897372,4681,1265,2007,0.002467096594658296,0.0006667116411541859,0.0031338082358124816,0.002485941836727545,0.0007303119519020318,0.0032162537886295775,May
Dino Meteor | National Geographic,2007-05-31,454930,870,303,2007,0.0019123821247224847,0.0006660365330930033,0.002578418657815488,0.002468626341632907,0.0007254358818964276,0.0031940622235293353,May
Cheetah Jumps Gazelle | National Geographic,2007-05-31,466348,331,73,2007,0.0007097703860636264,0.0001565354627874463,0.0008663058488510726,0.0022832299548207796,0.0006939773447470766,0.0029772072995678566,May
Big Cats | National Geographic,2007-06-07,518713,1365,165,2007,0.0026315129946617877,0.00031809497737669964,0.0029496079720384874,0.002236382566776121,0.0006828465483513854,0.0029192291151275067,Jun
Kangaroo vs Dingo | National Geographic,2007-06-07,1900779,3962,635,2007,0.0020844085503890775,0.0003340735561577648,0.002418482106546842,0.0021298895782882947,0.0006779035572976881,0.002807793135585983,Jun
Killer Gator | National Geographic,2007-06-07,292199,436,79,2007,0.0014921337855365693,0.00027036369049859854,0.001762497476035168,0.0020131065880648565,0.0006470645527408859,0.0026601711408057427,Jun
Machine Guns | National Geographic,2007-06-07,2056168,2975,1171,2007,0.0014468662093758875,0.0005695059936736687,0.002016372203049556,0.0020173880733853366,0.0006564413867338562,0.002673829460119193,Jun
Dancing on Knives | National Geographic,2007-06-07,30509,96,37,2007,0.003146612475007375,0.0012127568914090923,0.004359369366416468,0.0019963266238128743,0.0005164923612392929,0.0025128189850521674,Jun
FBI Takedown | Explorer,2007-06-07,335311,674,128,2007,0.0020100742295958082,0.0003817351652644858,0.0023918093948602937,0.002032068374573931,0.0005164428147355017,0.002548511189309433,Jun
Tanner | Dangerous Jobs,2007-06-07,198422,626,218,2007,0.003154892098658415,0.0010986684944209815,0.004253560593079396,0.0020988517313181346,0.0005368667512530375,0.002635718482571172,Jun
Hollywood Shootout | National Geographic,2007-06-07,778048,4018,372,2007,0.005164205807353788,0.0004781196018754627,0.00564232540922925,0.0021866808782928984,0.0005313986760638375,0.0027180795543567363,Jun
Bee Therapy | National Geographic,2007-06-07,276859,773,222,2007,0.0027920349347501797,0.0008018522063577488,0.0035938871411079288,0.002232051301805343,0.0005398998593063194,0.0027719511611116626,Jun
Sex Change | National Geographic,2007-06-07,1133216,1043,678,2007,0.0009203894050207551,0.0005982972354784966,0.0015186866404992517,0.0021110253124730378,0.0005289163785201666,0.0026399416909932043,Jun
Koalas Saved | National Geographic,2007-06-14,79667,307,22,2007,0.0038535403617558084,0.0002761494721779407,0.004129689833933749,0.002212572622464715,0.0005180297036709853,0.0027306023261357004,Jun
Insect Candy | National Geographic,2007-06-14,217469,678,175,2007,0.0031176857391168396,0.0008047123957897448,0.003922398134906585,0.0021925211578288735,0.0005280433725557641,0.002720564530384638,Jun
World's Toughest Jobs: Salt Miner | National Geographic,2007-06-14,707722,4207,293,2007,0.0059444245056674795,0.00041400436894712897,0.006358428874614608,0.0023068110280448093,0.0005296114514165599,0.002836422479461369,Jun
Fainting Goats | National Geographic,2007-06-14,8142257,8682,1641,2007,0.0010662891136941513,0.0002015411697272636,0.001267830283421415,0.0022903411771537222,0.000522072738656807,0.002812413915810529,Jun
Leeches Cure | National Geographic,2007-06-14,208761,458,66,2007,0.0021938963695326236,0.0003161510052164916,0.002510047374749115,0.0022567273013746514,0.0005108054746604565,0.0027675327760351073,Jun
Downed Fighter Pilot | National Geographic,2007-06-14,260386,452,238,2007,0.0017358844177490342,0.0009140276358944029,0.002649912053643437,0.002281923464284377,0.0005317948331616974,0.0028137182974460745,Jun
Building Rome's Colosseum | Engineering the Impossible: The Colosseum,2007-06-14,363533,744,92,2007,0.002046581740859839,0.00025307193569772205,0.0022996536765575613,0.0022930236838238152,0.0005260771412451473,0.0028191008250689625,Jun
Mysteries of Borneo | National Geographic,2007-06-14,143497,495,80,2007,0.0034495494679331277,0.0005575029443124247,0.0040070524122455525,0.0023315323883779573,0.0005241595121584342,0.0028556919005363916,Jun
Tribal Beauty Pageant -- for Men | National Geographic,2007-06-14,329831,1194,249,2007,0.0036200357152602392,0.000754932071272864,0.004374967786533103,0.002414478975717002,0.0005339221503795836,0.002948401126096585,Jun
July 4: Fireworks | National Geographic,2007-06-21,45522,122,11,2007,0.002680022846096393,0.00024164140415623215,0.002921664250252625,0.0024780492497566468,0.00053484084153517,0.003012890091291817,Jun
First Gunshot Victim in the New World | National Geographic,2007-06-21,879328,780,540,2007,0.0008870410131373048,0.0006141053167873649,0.0015011463299246697,0.002475493531858706,0.0005507007569207551,0.003026194288779461,Jun
"Houston, We Have A Problem | National Geographic",2007-06-21,318002,419,70,2007,0.0013176017760894586,0.00022012440173332243,0.001537726177822781,0.0024685608948791424,0.000543726400328355,0.0030122872952074975,Jun
Bottlenose Dolphin Gang Rumble | National Geographic,2007-06-21,1084426,2225,388,2007,0.0020517767003004356,0.0003577929706591321,0.0024095696709595677,0.0024706977513394733,0.0005399315674462947,0.0030106293187857685,Jun
Hogzilla | National Geographic,2007-06-21,171209,255,51,2007,0.0014894076830073186,0.00029788153660146373,0.0017872892196087822,0.002459220464950454,0.000523664862361421,0.0029828853273118753,Jun
Penguin vs. Pelican | National Geographic,2007-06-21,319190,402,98,2007,0.001259437952316802,0.000307027162505091,0.0015664651148218928,0.0024147574403524884,0.0005112499422447281,0.002926007382597217,Jun
Penguin vs. Leopard Seal | National Geographic,2007-06-21,973317,1327,549,2007,0.0013633790430044887,0.0005640505611224298,0.0019274296041269187,0.0024312815643659723,0.000510926059387372,0.002942207623753344,Jun
Engineering the Impossible: Chartres Cathedral | National Geographic,2007-06-21,261334,705,95,2007,0.0026976971997520415,0.00036351948081765097,0.0030612166805696925,0.0023568877080355813,0.0005003662427655435,0.0028572539508011246,Jun
Inside a Tornado | National Geographic,2007-06-27,311526,414,112,2007,0.0013289420465707517,0.00035952055366165266,0.0016884626002324043,0.00231894922309933,0.0004901265398491257,0.002809075762948455,Jun
Yellowstone Untouched | National Geographic,2007-06-27,412774,581,145,2007,0.0014075498941309287,0.00035128181523061045,0.0017588317093615393,0.0023021214820796113,0.0004796347159203793,0.0027817561979999903,Jun
Speed Eating | National Geographic,2007-06-28,59130,140,71,2007,0.002367664468121089,0.0012007441231185524,0.0035684085912396414,0.002357384618148194,0.0005144416712647494,0.002871826289412943,Jun
Harley Motorcycles | National Geographic,2007-06-28,544748,878,163,2007,0.001611754425899682,0.0002992209241704421,0.0019109753500701242,0.0023233926658561234,0.0005138125361578743,0.0028372052020139977,Jun
Summer Science | National Geographic,2007-06-28,19917,65,6,2007,0.003263543706381483,0.0003012501882813677,0.003564793894662851,0.0023626971710558695,0.0005127184238953277,0.0028754155949511973,Jun
Tiger Shark vs. Albatross | National Geographic,2007-06-29,1344625,1028,392,2007,0.000764525425304453,0.00029153109603049176,0.0010560565213349447,0.002338443559048133,0.0005134240040797241,0.002851867563127857,Jun
Cheetah vs. Gemsbok | National Geographic,2007-06-29,1938102,2161,308,2007,0.0011150083948110057,0.00015891836446172596,0.0012739267592727318,0.00232738163189597,0.0004997377497726593,0.0028271193816686293,Jun
Tongue Piercing | National Geographic,2007-06-29,240736,419,86,2007,0.0017404958128406222,0.00035723780406752626,0.0020977336169081483,0.0022805110764904115,0.00047122044686127385,0.002751731523351685,Jun
