Title,Published_date,Views,Likes,Comments,Year,Like_Rate,Comment_Rate,Engagement_Rate,Rolling_Like_Rate,Rolling_Comment_Rate,Rolling_Engagement_Rate,Month
How containerization shaped the modern world,2012-03-12,590410,7327,504,2012,0.01241002015548517,0.00085364407784421,0.013263664233329382,,,,Mar
Stories: Legacies of who we are - Awele Makeba,2012-03-12,73588,809,56,2012,0.010993640267434908,0.000760993640267435,0.011754633907702343,,,,Mar
Deep ocean mysteries and wonders - David Gallo,2012-03-12,1147771,13736,617,2012,0.011967544048420809,0.0005375636777719598,0.012505107726192769,,,,Mar
Introducing TED-Ed: Lessons Worth Sharing,2012-03-12,522586,3214,135,2012,0.006150183893177391,0.0002583306862411163,0.006408514579418507,,,,Mar
The Power of Simple Words - Terin Izil,2012-03-12,554255,4100,279,2012,0.007397317119376461,0.0005033784088551298,0.00790069552823159,,,,Mar
The Cockroach Beatbox,2012-03-12,909262,7659,639,2012,0.008423314732167406,0.0007027677391114992,0.009126082471278905,,,,Mar
Why Can't We See Evidence of Alien Life?,2012-03-12,3427154,44366,7090,2012,0.012945435191998958,0.0020687719314626653,0.015014207123461625,,,,Mar
Evolution in a Big City,2012-03-12,178084,1922,104,2012,0.010792659643763617,0.0005839940702140563,0.011376653713977674,,,,Mar
Questions No One Knows the Answers to,2012-03-12,1187066,4556,604,2012,0.0038380342794756147,0.0005088175383677066,0.004346851817843321,,,,Mar
How pandemics spread,2012-03-12,3421421,40680,3699,2012,0.01188979666635588,0.0010811297411221828,0.012970926407478062,,,,Mar
How many universes are there? - Chris Anderson,2012-03-12,1934723,25319,2873,2012,0.013086627904873204,0.001484967098649264,0.014571595003522468,,,,Mar
How simple ideas lead to scientific discoveries,2012-03-13,3091456,45361,1138,2012,0.014673021385392514,0.0003681113365352766,0.01504113272192779,,,,Mar
Symbiosis: A surprising tale of species cooperation - David Gonzales,2012-03-14,375083,2077,128,2012,0.005537441046381734,0.00034125780160657775,0.005878698847988312,,,,Mar
Questions No One Knows the Answers to (Full Version),2012-03-17,29345281,542045,40023,2012,0.018471283338537463,0.0013638649430550692,0.019835148281592534,,,,Mar
Poetic Stickup: Put the Financial Aid in the Bag,2012-03-21,304241,2364,170,2012,0.007770155896148119,0.0005587675559835788,0.008328923452131699,,,,Mar
The Real Origin of the Franchise - Sir Harold Evans,2012-03-26,219944,1565,83,2012,0.007115447568471975,0.00037736878478158075,0.007492816353253555,,,,Mar
The Secret Life of Plankton,2012-04-02,2084230,34506,1587,2012,0.01655575440330482,0.0007614322795468831,0.0173171866828517,,,,Apr
Why do Americans vote on Tuesdays?,2012-04-10,429714,2889,405,2012,0.006723076278641143,0.0009424873287814686,0.007665563607422612,,,,Apr
Just How Small is an Atom?,2012-04-16,7675343,92369,7062,2012,0.012034511030972818,0.0009200891738649334,0.012954600204837751,,,,Apr
Exponential growth: How folding paper can get you to the Moon,2012-04-19,6420144,72359,8018,2012,0.011270619475201802,0.0012488816450222924,0.012519501120224095,,,,Apr
Sex Determination: More Complicated Than You Thought,2012-04-23,4527954,90823,5921,2012,0.020058286811217605,0.0013076546272334038,0.021365941438451008,,,,Apr
TED-Ed Website Tour,2012-04-25,418783,969,64,2012,0.002313847505748801,0.00015282377746947702,0.0024666712832182775,,,,Apr
Insults by Shakespeare,2012-05-04,2333020,30803,1663,2012,0.013203058696453523,0.00071281000591508,0.013915868702368604,,,,May
Five fingers of evolution - Paul Andersen,2012-05-07,1720573,15286,1625,2012,0.008884249607543533,0.0009444528072915243,0.009828702414835059,,,,May
How Life Begins in the Deep Ocean,2012-05-14,351712,5646,296,2012,0.016052906923846783,0.0008415976708215813,0.016894504594668364,,,,May
One is one ... or is it?,2012-05-21,1579129,21223,1816,2012,0.013439687321301807,0.001150001044879804,0.014589688366181611,,,,May
The key to media's hidden codes - Ben Beaton,2012-05-29,285103,2267,186,2012,0.0079515122604813,0.0006523958008158456,0.008603908061297145,,,,May
The wacky history of cell theory - Lauren Royal-Woods,2012-06-04,7321375,48537,4757,2012,0.00662949241092008,0.0006497413395707773,0.007279233750490857,,,,Jun
How to speed up chemical reactions (and get a date) - Aaron Sams,2012-06-18,2287123,19522,1064,2012,0.008535614394153703,0.0004652132832383741,0.009000827677392078,,,,Jun
How Do Pain Relievers Work? - George Zaidan,2012-06-26,4080760,49529,2116,2012,0.01213719993334575,0.0005185308618982739,0.012655730795244024,0.010641724673019824,0.0007873946892739676,0.01142911936229379,Jun
Calculating The Odds of Intelligent Alien Life - Jill Tarter,2012-07-02,1262565,13438,1486,2012,0.01064341241837054,0.0011769691065410494,0.01182038152491159,0.010582837748449337,0.0007981721902305288,0.011381009938679864,Jul
"The case against ""good"" and ""bad"" - Marlee Neel",2012-07-09,443138,5548,815,2012,0.012519801957855115,0.0018391561996488677,0.014358958157503984,0.010633709804796675,0.0008341109422099099,0.011467820747006585,Jul
The vocabulary of electricity - James Sheils,2012-07-16,663622,10382,293,2012,0.015644448194906135,0.0004415164054235694,0.016085964600329707,0.010756273276346186,0.0008309093664649636,0.011587182642811151,Jul
The survival of the sea turtle,2012-07-23,2056168,20875,1029,2012,0.010152380544780388,0.0005004454888900129,0.0106528260336704,0.01088967983139962,0.0008389798598865936,0.011728659691286213,Jul
How Two Decisions Led Me to Olympic Glory - Steve Mesler,2012-07-30,116969,1073,67,2012,0.009173370722157152,0.0005728013405261223,0.009746172062683274,0.010948881618158974,0.00084129395760896,0.011790175575767937,Jul
How big is infinity? - Dennis Wildfogel,2012-08-06,3577324,55479,4304,2012,0.015508519776234974,0.0012031339627050835,0.01671165373894006,0.011185055119627894,0.0008579728317287461,0.012043027951356642,Aug
How do nerves work? - Elliot Krane,2012-08-09,560645,4794,197,2012,0.008550865520962464,0.00035138099867117336,0.008902246519633636,0.011038569463926678,0.000800726467302363,0.011839295931229041,Aug
Music as a language - Victor Wooten,2012-08-13,1398469,29766,937,2012,0.02128470491659093,0.0006700184272944199,0.02195472334388535,0.011388304306354256,0.0008035939458717084,0.012191898252225965,Aug
The history of keeping time - Karen Mensing,2012-08-16,250944,2186,157,2012,0.008711106860494772,0.0006256375924509054,0.009336744452945677,0.011550740059054895,0.0008074879476744817,0.012358228006729375,Aug
"Logarithms, Explained - Steve Kelly",2012-08-20,2014609,46613,1118,2012,0.023137492188310484,0.0005549463940645555,0.02369243858237504,0.011925663243120048,0.0007899485027725608,0.01271561174589261,Aug
How fiction can change reality - Jessica Wise,2012-08-23,817043,17868,593,2012,0.021869106032363046,0.0007257879940223464,0.02259489402638539,0.012218412514036376,0.0007646425326183302,0.012983055046654705,Aug
Capturing authentic narratives - Michele Weldon,2012-08-27,110532,1128,61,2012,0.010205189447399848,0.0005518763796909492,0.010757065827090797,0.012069484782769953,0.0007707680340568526,0.012840252816826806,Aug
What happens if you guess - Leigh Nataro,2012-08-31,640753,7652,536,2012,0.011942199256187641,0.000836515786894482,0.012778715043082124,0.012282976723096818,0.0007872766335664495,0.013070253356663267,Aug
Greeting the world in peace - Jackie Jenkins,2012-09-04,148246,989,128,2012,0.006671343577567017,0.0008634297046800589,0.007534773282247076,0.011889645397731135,0.0007705954589539492,0.012660240856685084,Sep
How taking a bath led to Archimedes' principle - Mark Salata,2012-09-06,1698670,11902,567,2012,0.007006658150199862,0.00033379055378619744,0.00734044870398606,0.011864195472866193,0.0007630962255473697,0.012627291698413564,Sep
An introduction to mathematical theorems - Scott Kennedy,2012-09-10,503718,8030,334,2012,0.015941459308581388,0.0006630694158239332,0.01660452872440532,0.012158395864203173,0.0007726195799154481,0.012931015444118623,Sep
"How big is a mole? (Not the animal, the other one.) - Daniel Dulek",2012-09-11,2595919,33850,1154,2012,0.013039698079947796,0.0004445439168171272,0.013484241996764922,0.01204119398675794,0.0007620566344911229,0.012803250621249063,Sep
A clever way to estimate enormous numbers - Michael Mitchell,2012-09-12,1038064,14192,487,2012,0.01367160406294795,0.00046914255768430464,0.014140746620632253,0.012272811579568166,0.0007462784754545508,0.013019090055022718,Sep
Why the shape of your screen matters - Brian Gervase,2012-09-13,567910,4932,431,2012,0.00868447465267384,0.000758923068796112,0.00944339772146995,0.012161143700291534,0.0007409062719522568,0.012902049972243791,Sep
How to think about gravity - Jon Bergmann,2012-09-17,475659,2961,395,2012,0.0062250477758225954,0.0008304268393954493,0.007055474615218045,0.011992957976978894,0.000726957778431362,0.012719915755410257,Sep
"Magical metals, how shape memory alloys work - Ainissa Ramirez",2012-09-18,157942,1557,81,2012,0.009858049157285586,0.0005128464879512732,0.010370895645236859,0.011652950055181159,0.0007004641737886244,0.012353414228969784,Sep
"Newton's 3 Laws, with a bicycle - Joshua Manley",2012-09-19,2283423,26051,724,2012,0.011408749057883713,0.0003170678406935552,0.011725816898577268,0.011956113440252325,0.0007059389758960936,0.012662052416148418,Sep
What is chirality and how did it get in my molecules? - Michael Evans,2012-09-20,317021,4644,168,2012,0.01464887184129758,0.0005299333482639951,0.015178805189561575,0.012004307211747127,0.0006998430873077241,0.01270415029905485,Sep
The art of the metaphor - Jane Hirshfield,2012-09-24,1619260,28587,621,2012,0.01765436063386979,0.00038350851623581144,0.018037869150105603,0.012296644245958001,0.0006811449442725336,0.012977789190230536,Sep
